J05AF060510	Abacavir--Tableta recubierta-300 mg
A03AB19	NULL
A03AB21	NULL
A03AB53	NULL
A03AC02	NULL
A03AC04	NULL
A03AC05	NULL
A03AD02	NULL
A03AD30	NULL
A03AE01	NULL
A03AE02	NULL
A03AE03	NULL
A03AX01	NULL
A03AX02	NULL
A03AX03	NULL
A03AX04	NULL
A03AX05	NULL
A03AX06	NULL
A03AX07	NULL
A03AX08	NULL
A03AX09	NULL
A03AX10	NULL
A03AX11	NULL
A03AX12	NULL
A03AX13	NULL
A03AX30	NULL
A03AX58	NULL
A03BA03	NULL
A03BA04	NULL
A03BB02	NULL
A03BB03	NULL
A03BB04	NULL
A03BB05	NULL
A03CA01	NULL
A03CA02	NULL
A03CA03	NULL
A03CA04	NULL
A03CA05	NULL
A03CA06	NULL
A03CA07	NULL
A03CA08	NULL
A03CA30	NULL
A03CA34	NULL
A03CB01	NULL
A03CB02	NULL
A03CB03	NULL
A03CB04	NULL
A03CB31	NULL
A03DA01	NULL
A03DA02	NULL
A03DA03	NULL
A03DA04	NULL
A03DA05	NULL
A03DA06	NULL
A03DA07	NULL
A03DB04	NULL
A03FA02	NULL
A03FA03	NULL
A03FA04	NULL
A03FA05	NULL
A03FA06	NULL
A04AA03	NULL
A04AA04	NULL
A04AD01	NULL
A04AD02	NULL
A04AD04	NULL
A04AD05	NULL
A04AD10	NULL
A04AD11	NULL
A04AD12	NULL
A04AD51	NULL
A04AD54	NULL
A05AA01	NULL
A05AA02	NULL
A05AB01	NULL
A05AX01	NULL
A05AX02	NULL
A05AX03	NULL
A05BA01	NULL
A05BA03	NULL
A05BA04	NULL
A05BA05	NULL
A05BA06	NULL
A05BA07	NULL
A06AA01	NULL
A06AA02	NULL
A06AA51	NULL
A06AB01	NULL
A06AB03	NULL
A06AB04	NULL
A06AB05	NULL
A06AB06	NULL
A06AB07	NULL
A06AB08	NULL
A06AB09	NULL
A06AB20	NULL
A06AB30	NULL
A06AB52	NULL
A06AB53	NULL
A06AB56	NULL
A06AB57	NULL
A06AB58	NULL
A06AC01	NULL
A06AC02	NULL
A06AC03	NULL
A06AC05	NULL
A06AC06	NULL
A06AC07	NULL
A06AC08	NULL
A06AC51	NULL
A06AC53	NULL
A06AC55	NULL
A06AD01	NULL
A06AD02	NULL
A06AD03	NULL
A06AD04	NULL
A06AD10	NULL
A06AD12	NULL
A06AD13	NULL
A06AD14	NULL
A06AD15	NULL
A06AD16	NULL
A06AD17	NULL
A06AD18	NULL
A06AD19	NULL
A06AD21	NULL
A06AD61	NULL
A06AD65	NULL
A06AG01	NULL
A06AG02	NULL
A06AG03	NULL
A06AG04	NULL
A06AG06	NULL
A06AG07	NULL
A06AG10	NULL
A06AG11	NULL
A06AG20	NULL
A06AX01	NULL
A06AX02	NULL
A07AA01	NULL
A07AA03	NULL
A07AA04	NULL
A07AA05	NULL
A07AA06	NULL
A07AA07	NULL
A07AA08	NULL
A07AA09	NULL
A07AA10	NULL
A07AA11	NULL
A07AA51	NULL
A07AA54	NULL
A07AB02	NULL
A07AB03	NULL
A07AB04	NULL
A07AC01	NULL
A07AX01	NULL
A07AX02	NULL
A07AX03	NULL
A07AX04	NULL
A07BA51	NULL
A07BC01	NULL
A07BC02	NULL
A07BC03	NULL
A07BC04	NULL
A07BC05	NULL
A07BC30	NULL
A07BC54	NULL
A07DA01	NULL
A07DA02	NULL
A07DA04	NULL
A07DA05	NULL
A07DA52	NULL
A07DA53	NULL
A07EA01	NULL
A07EA02	NULL
A07EA03	NULL
A07EA04	NULL
A07EA05	NULL
A07EA06	NULL
A07EA07	NULL
A07EB01	NULL
A07EC02	NULL
A07EC03	NULL
A07EC04	NULL
A07FA01	NULL
A07FA02	NULL
A07FA51	NULL
A07XA01	NULL
A07XA02	NULL
A07XA03	NULL
A07XA04	NULL
A07XA51	NULL
A08AA01	NULL
A08AA02	NULL
A08AA03	NULL
A08AA04	NULL
A08AA05	NULL
A08AA06	NULL
A08AA07	NULL
A08AA08	NULL
A08AA09	NULL
A08AA10	NULL
A08AA56	NULL
A08AB01	NULL
A08AX01	NULL
A09AA01	NULL
A09AA02	NULL
A09AA03	NULL
A09AA04	NULL
A09AB01	NULL
A09AB02	NULL
A09AB03	NULL
A09AB04	NULL
A09AC01	NULL
A09AC02	NULL
A10AB02	NULL
A10AB03	NULL
A10AB05	NULL
A10AB06	NULL
A10AB30	NULL
A10AC02	NULL
A10AC03	NULL
A10AC04	NULL
A10AC30	NULL
A10AD01	NULL
A10AD02	NULL
A10AD03	NULL
A10AD04	NULL
A10AD05	NULL
A10AD30	NULL
A10AE01	NULL
A10AE02	NULL
A10AE03	NULL
A10AE05	NULL
A10AE30	NULL
A10AF01	NULL
A10BA01	NULL
A10BA03	NULL
A10BB02	NULL
A10BB03	NULL
A10BB04	NULL
A10BB05	NULL
A10BB06	NULL
A10BB07	NULL
A10BB08	NULL
A10BB09	NULL
A10BB10	NULL
A10BB11	NULL
A10BB12	NULL
A10BB31	NULL
A10BC01	NULL
A10BD01	NULL
A10BD03	NULL
A10BD04	NULL
A10BD05	NULL
A10BD06	NULL
A10BD07	NULL
A10BF01	NULL
A10BF02	NULL
A10BF03	NULL
A10BG01	NULL
A10BG02	NULL
A10BG03	NULL
A10BH01	NULL
A10BH02	NULL
A10BX01	NULL
A10BX02	NULL
A10BX03	NULL
A10BX04	NULL
A10XA01	NULL
A11AA01	NULL
A11AA02	NULL
A11AA04	NULL
A11CA02	NULL
A11CC01	NULL
A11CC02	NULL
A11CC03	NULL
A11CC05	NULL
A11CC07	NULL
A11CC20	NULL
A11DA02	NULL
A11DA03	NULL
A11GB01	Ácido ascórbico (vitamina C) y calcio.
\n---
A11HA01	NULL
A11HA03	NULL
A11HA04	NULL
A11HA05	NULL
A11HA06	NULL
A11HA07	NULL
A11HA30	NULL
A11HA31	NULL
A11HA32	NULL
A12AA01	NULL
A12AA02	NULL
A12AA04	NULL
A12AA05	NULL
A12AA06	NULL
A12AA07	NULL
A12AA08	NULL
A12AA09	NULL
A12AA10	NULL
A12AA11	NULL
A12AA12	NULL
A12AA20	NULL
A12AA30	NULL
A12BA01	NULL
A12BA02	NULL
A12BA03	NULL
A12BA05	NULL
A12BA30	NULL
A12BA51	NULL
A12CA01	NULL
A12CA02	NULL
A12CB01	NULL
A12CB02	NULL
A12CB03	NULL
A12CC01	NULL
A12CC02	NULL
A12CC03	NULL
A12CC04	NULL
A12CC05	NULL
A12CC06	NULL
A12CC07	NULL
A12CC08	NULL
A12CC09	NULL
A12CC10	NULL
A12CC30	NULL
A12CD01	NULL
A12CD02	NULL
A12CD51	NULL
A12CE01	NULL
A12CE02	NULL
A14AA01	NULL
A14AA02	NULL
A14AA03	NULL
A14AA04	NULL
A14AA05	NULL
A14AA06	NULL
A14AA07	NULL
A14AA08	NULL
A14AA09	NULL
A14AB01	NULL
A14AB02	NULL
A14AB03	NULL
A16AA01	NULL
A16AA02	NULL
A16AA03	NULL
A16AA04	NULL
A16AA05	NULL
A16AA06	NULL
A16AB01	NULL
A16AB02	NULL
A16AB03	NULL
A16AB04	NULL
A16AB05	NULL
A16AB06	NULL
A16AB07	NULL
A16AB08	NULL
A16AB09	NULL
A16AX01	NULL
A16AX02	NULL
A16AX03	NULL
A16AX04	NULL
A16AX05	NULL
A16AX06	NULL
A16AX07	NULL
B01AA01	NULL
B01AA02	NULL
B01AA04	NULL
B01AA07	NULL
B01AA08	NULL
B01AA09	NULL
B01AA10	NULL
B01AA11	NULL
B01AB02	NULL
B01AB06	NULL
B01AB07	NULL
B01AB08	NULL
B01AB09	NULL
B01AB10	NULL
B01AB11	NULL
B01AB12	NULL
B01AB51	NULL
B01AC01	NULL
B01AC02	NULL
B01AC03	NULL
B01AC05	NULL
B01AC08	NULL
B01AC09	NULL
B01AC10	NULL
B01AC11	NULL
B01AC13	NULL
B01AC15	NULL
B01AC16	NULL
B01AC18	NULL
B01AC19	NULL
B01AC21	NULL
B01AC30	NULL
B01AD02	NULL
B01AD03	NULL
B01AD04	NULL
B01AD05	NULL
B01AD06	NULL
B01AD07	NULL
B01AD08	NULL
B01AD09	NULL
B01AD10	NULL
B01AD11	NULL
B01AD12	NULL
B01AE01	NULL
B01AE02	NULL
B01AE03	NULL
B01AE04	NULL
B01AE05	NULL
B01AE06	NULL
B01AX01	NULL
B01AX04	NULL
B01AX05	NULL
B02AA01	NULL
B02AA03	NULL
B02AB01	NULL
B02AB02	NULL
B02AB03	NULL
B02AB04	NULL
B02BA02	NULL
B02BB01	NULL
B02BC01	NULL
B02BC02	NULL
B02BC03	NULL
B02BC05	NULL
B02BC06	NULL
B02BC07	NULL
B02BC08	NULL
B02BC09	NULL
B02BC10	NULL
B02BC30	NULL
B02BD01	NULL
B02BD03	NULL
B02BD05	NULL
B02BD06	NULL
B02BD07	NULL
B02BD08	NULL
B02BD09	NULL
B02BD30	NULL
B02BX01	NULL
B02BX02	NULL
B02BX03	NULL
B02BX04	NULL
B03AA01	NULL
B03AA02	NULL
B03AA03	NULL
B03AA04	NULL
B03AA05	NULL
B03AA06	NULL
B03AA07	NULL
B03AA08	NULL
B03AA09	NULL
B03AA10	NULL
B03AA11	NULL
B03AB01	NULL
B03AB02	NULL
B03AB03	NULL
B03AB04	NULL
B03AB05	NULL
B03AB06	NULL
B03AB07	NULL
B03AB08	NULL
B03AB09	NULL
B03AC01	NULL
B03AC02	NULL
B03AC03	NULL
B03AC05	NULL
B03AC06	NULL
B03AC07	NULL
B03AD01	NULL
B03AD02	NULL
B03AD03	NULL
B03AD04	NULL
B03AE01	NULL
B03AE02	NULL
B03AE03	NULL
B03AE04	NULL
B03AE10	NULL
B03BA01	NULL
B03BA02	NULL
B03BA04	NULL
B03BA05	NULL
B03BA51	NULL
B03BA53	NULL
B03BB51	NULL
B03XA02	NULL
B05AA02	NULL
B05AA03	NULL
B05AA05	NULL
B05AA07	NULL
B05AA08	NULL
B05AA09	NULL
B05BA04	NULL
B05BA10	NULL
B05BB01	NULL
B05BB03	NULL
B05BC02	NULL
B05CA01	NULL
B05CA02	NULL
B05CA03	NULL
B05CA04	NULL
B05CA05	NULL
B05CA06	NULL
B05CA07	NULL
B05CA08	NULL
B05CA09	NULL
B05CA10	NULL
B05CB02	NULL
B05CB03	NULL
B05CB04	Bicarbonato sódico
\n---
B05CX01	NULL
B05CX02	NULL
B05CX03	NULL
B05CX04	NULL
B05CX10	NULL
B05XA04	NULL
B05XA06	NULL
B05XA07	NULL
B05XA08	NULL
B05XA09	NULL
B05XA10	NULL
B05XA11	NULL
B05XA12	NULL
B05XA13	NULL
B05XA14	NULL
B05XA15	NULL
B05XA16	NULL
B05XA30	NULL
B05XA31	NULL
B05XB01	NULL
B05XB02	NULL
B05XB03	NULL
B05XX02	NULL
B06AA02	NULL
B06AA03	NULL
B06AA04	NULL
B06AA07	NULL
B06AA10	NULL
B06AA11	NULL
B06AA49	NULL
B06AA55	NULL
B06AB01	NULL
C01AA01	NULL
C01AA03	NULL
C01AA04	NULL
C01AA06	NULL
C01AA07	NULL
C01AA08	NULL
C01AA09	NULL
C01AA52	NULL
C01AB01	NULL
C01AB51	NULL
C01AC01	NULL
C01AC03	NULL
C01AX02	NULL
C01BA01	NULL
C01BA02	NULL
C01BA03	NULL
C01BA04	NULL
C01BA05	NULL
C01BA08	NULL
C01BA12	NULL
C01BA51	NULL
C01BA71	NULL
C01BB01	NULL
C01BB02	NULL
C01BB03	NULL
C01BB04	NULL
C01BC03	NULL
C01BC04	NULL
C01BC07	NULL
C01BC08	NULL
C01BD02	NULL
C01BD03	NULL
C01BD04	NULL
C01BD05	NULL
C01BG01	NULL
C01BG07	NULL
C01CA01	NULL
C01CA02	NULL
C01CA05	NULL
C01CA06	NULL
C01CA08	NULL
C01CA09	NULL
C01CA10	NULL
C01CA11	NULL
C01CA12	NULL
C01CA13	NULL
C01CA14	NULL
C01CA15	NULL
C01CA16	NULL
C01CA17	NULL
C01CA18	NULL
C01CA19	NULL
C01CA21	NULL
C01CA22	NULL
C01CA23	NULL
C01CA30	NULL
C01CA51	NULL
C01CE03	NULL
C01CE04	NULL
C01CX06	NULL
C01CX07	NULL
C01CX08	NULL
C01DA02	NULL
C01DA04	NULL
C01DA05	NULL
C01DA07	NULL
C01DA09	NULL
C01DA13	NULL
C01DA20	NULL
C01DA38	NULL
C01DA52	NULL
C01DA54	NULL
C01DA55	NULL
C01DA57	NULL
C01DA58	NULL
C01DA59	NULL
C01DA63	NULL
C01DA70	NULL
C01DB01	NULL
C01DX01	NULL
C01DX02	NULL
C01DX03	NULL
C01DX04	NULL
C01DX05	NULL
C01DX06	NULL
C01DX07	NULL
C01DX08	NULL
C01DX09	NULL
C01DX10	NULL
C01DX11	NULL
C01DX12	NULL
C01DX13	NULL
C01DX14	NULL
C01DX15	NULL
C01DX16	NULL
C01DX18	NULL
C01DX19	NULL
C01DX51	NULL
C01DX52	NULL
C01DX53	NULL
C01DX54	NULL
C01EA01	NULL
C01EB02	NULL
C01EB03	NULL
C01EB04	NULL
C01EB05	NULL
C01EB06	NULL
C01EB07	NULL
C01EB09	NULL
C01EB11	NULL
C01EB12	NULL
C01EB13	NULL
C01EB15	NULL
C01EB16	NULL
C01EB17	NULL
C01EB18	NULL
C02AA01	NULL
C02AA02	NULL
C02AA03	NULL
C02AA04	NULL
C02AA05	NULL
C02AA06	NULL
C02AA07	NULL
C02AA52	NULL
C02AA53	NULL
C02AA57	NULL
C02AB01	NULL
C02AB02	NULL
C02AC02	NULL
C02AC04	NULL
C02AC05	NULL
C02AC06	NULL
C02BA01	NULL
C02BB01	NULL
C02CA01	NULL
C02CA02	NULL
C02CA03	NULL
C02CA06	NULL
C02CC01	NULL
C02CC02	NULL
C02CC03	NULL
C02CC04	NULL
C02CC05	NULL
C02CC06	NULL
C02CC07	NULL
C02DA01	NULL
C02DB01	NULL
C02DB03	NULL
C02DB04	NULL
C02DG01	NULL
C02KA01	NULL
C02KB01	NULL
C02KC01	NULL
C02KD01	NULL
C02KX01	NULL
C02KX02	NULL
C02KX03	NULL
C02LA01	NULL
C02LA02	NULL
C02LA03	NULL
C02LA04	NULL
C02LA07	NULL
C02LA08	NULL
C02LA09	NULL
C02LA50	NULL
C02LA51	NULL
C02LA52	NULL
C02LA71	NULL
C02LB01	NULL
C02LC01	NULL
C02LC05	NULL
C02LC51	NULL
C02LE01	NULL
C02LF01	NULL
C02LG01	NULL
C02LG02	NULL
C02LG03	NULL
C02LG51	NULL
C02LG73	NULL
C02LK01	NULL
C02LL01	NULL
C02LX01	NULL
C03AA01	NULL
C03AA02	NULL
C03AA03	NULL
C03AA04	NULL
C03AA05	NULL
C03AA06	NULL
C03AA07	NULL
C03AA08	NULL
C03AA09	NULL
C03AA13	NULL
C03AB01	NULL
C03AB02	NULL
C03AB03	NULL
C03AB04	NULL
C03AB05	NULL
C03AB06	NULL
C03AB07	NULL
C03AB08	NULL
C03AB09	NULL
C03AH01	NULL
C03AH02	NULL
C03AX01	NULL
C03BA02	NULL
C03BA03	NULL
C03BA05	NULL
C03BA07	NULL
C03BA08	NULL
C03BA09	NULL
C03BA10	NULL
C03BA11	NULL
C03BA12	NULL
C03BA13	NULL
C03BA82	NULL
C03BB02	NULL
C03BB03	NULL
C03BB04	NULL
C03BB05	NULL
C03BB07	NULL
C03BC01	NULL
C03BD01	NULL
C03BX03	NULL
C03CA02	NULL
C03CA03	NULL
C03CA04	NULL
C03CB01	NULL
C03CB02	NULL
C03CC01	NULL
C03CC02	NULL
C03CD01	NULL
C03CX01	NULL
C03DA02	NULL
C03DA03	NULL
C03DA04	NULL
C03DB02	NULL
C03EA01	NULL
C03EA02	NULL
C03EA03	NULL
C03EA04	NULL
C03EA05	NULL
C03EA06	NULL
C03EA07	NULL
C03EA12	NULL
C03EA13	NULL
C03EA14	NULL
C03EB01	NULL
C03EB02	NULL
C04AA01	NULL
C04AA02	NULL
C04AA31	NULL
C04AB01	NULL
C04AB02	NULL
C04AC01	NULL
C04AC02	NULL
C04AC03	NULL
C04AC07	NULL
C04AD01	NULL
C04AD02	NULL
C04AD04	NULL
C04AE01	NULL
C04AE02	NULL
C04AE04	NULL
C04AE51	NULL
C04AE54	NULL
C04AF01	NULL
C04AX01	NULL
C04AX02	NULL
C04AX07	NULL
C04AX10	NULL
C04AX11	NULL
C04AX17	NULL
C04AX19	NULL
C04AX20	NULL
C04AX21	NULL
C04AX23	NULL
C04AX24	NULL
C04AX26	NULL
C04AX27	NULL
C04AX28	NULL
C04AX30	NULL
C04AX32	NULL
C05AA01	NULL
C05AA04	NULL
C05AA05	NULL
C05AA06	NULL
C05AA08	NULL
C05AA09	NULL
C05AA10	NULL
C05AA11	NULL
C05AD01	NULL
C05AD02	NULL
C05AD03	NULL
C05AD04	NULL
C05AD05	NULL
C05AD06	NULL
C05AD07	NULL
C05AX01	NULL
C05AX02	NULL
C05AX04	NULL
C05AX05	NULL
C05BA01	NULL
C05BA02	NULL
C05BA03	NULL
C05BA04	NULL
C05BA51	NULL
C05BA53	NULL
C05BB01	NULL
C05BB02	NULL
C05BB03	NULL
C05BB04	NULL
C05BB05	NULL
C05BB56	NULL
C05BX01	NULL
C05BX51	NULL
C05CA01	NULL
C05CA02	NULL
C05CA03	NULL
C05CA04	NULL
C05CA05	NULL
C05CA51	NULL
C05CA53	NULL
C05CA54	NULL
C05CX01	NULL
C07AA01	NULL
C07AA02	NULL
C07AA03	NULL
C07AA06	NULL
C07AA07	NULL
C07AA12	NULL
C07AA14	NULL
C07AA15	NULL
C07AA16	NULL
C07AA17	NULL
C07AA19	NULL
C07AA23	NULL
C07AA27	NULL
C07AA57	NULL
C07AB01	NULL
C07AB02	NULL
C07AB04	NULL
C07AB05	NULL
C07AB06	NULL
C07AB07	NULL
C07AB08	NULL
C07AB09	NULL
C07AB10	NULL
C07AB11	NULL
C07AB12	NULL
C07AB13	NULL
C07AB52	NULL
C07AG01	Labetalol.
\n---
C07BA02	NULL
C07BA05	NULL
C07BA06	NULL
C07BA07	NULL
C07BA12	NULL
C07BA68	NULL
C07BB02	NULL
C07BB03	NULL
C07BB04	NULL
C07BB06	NULL
C07BB07	NULL
C07BB52	NULL
C07BG01	NULL
C07CA02	NULL
C07CA03	NULL
C07CA17	NULL
C07CA23	NULL
C07CB02	NULL
C07CB03	NULL
C07CB53	NULL
C07CG01	NULL
C07DA06	NULL
C07DB01	NULL
C07FA05	NULL
C07FB02	NULL
C07FB03	NULL
C08CA02	NULL
C08CA03	NULL
C08CA04	NULL
C08CA05	NULL
C08CA07	NULL
C08CA08	NULL
C08CA09	NULL
C08CA10	NULL
C08CA11	NULL
C08CA12	NULL
C08CA13	NULL
C08CA14	NULL
C08CA15	NULL
C08CA55	NULL
C08CX01	NULL
C08DA01	NULL
C08DA02	NULL
C08DA51	NULL
C08EA01	NULL
C08EA02	NULL
C08EX01	NULL
C08EX02	NULL
C08GA01	NULL
C09AA03	NULL
C09AA04	NULL
C09AA05	NULL
C09AA06	NULL
C09AA07	NULL
C09AA08	NULL
C09AA09	NULL
C09AA10	NULL
C09AA11	NULL
C09AA12	NULL
C09AA13	NULL
C09AA14	NULL
C09AA15	NULL
C09AA16	NULL
C09BA01	NULL
C09BA03	NULL
C09BA04	NULL
C09BA05	NULL
C09BA06	NULL
C09BA07	NULL
C09BA08	NULL
C09BA09	NULL
C09BA12	NULL
C09BA13	NULL
C09BA15	NULL
C09BB02	NULL
C09BB05	NULL
C09BB10	NULL
C09BB12	NULL
C09CA02	NULL
C09CA03	NULL
C09CA04	NULL
C09CA05	NULL
C09CA06	NULL
C09CA07	NULL
C09CA08	NULL
C09DA01	NULL
C09DA02	NULL
C09DA03	NULL
C09DA04	NULL
C09DA06	NULL
C09DA07	NULL
C09DA08	NULL
C09XA01	NULL
C09XA02	NULL
C09XA52	NULL
C10AA02	NULL
C10AA03	NULL
C10AA04	NULL
C10AA06	NULL
C10AA07	NULL
C10AA08	NULL
C10AB01	NULL
C10AB02	NULL
C10AB03	NULL
C10AB05	NULL
C10AB06	NULL
C10AB07	NULL
C10AB08	NULL
C10AB09	NULL
C10AB10	NULL
C10AC01	NULL
C10AC02	NULL
C10AC03	NULL
C10AC04	NULL
C10AD01	NULL
C10AD02	NULL
C10AD03	NULL
C10AD04	NULL
C10AD05	NULL
C10AD06	NULL
C10AX01	NULL
C10AX02	NULL
C10AX03	NULL
C10AX04	NULL
C10AX05	NULL
C10AX06	NULL
C10AX07	NULL
C10AX08	NULL
C10AX09	NULL
D01AA01	NULL
D01AA02	NULL
D01AA03	NULL
D01AA04	NULL
D01AA06	NULL
D01AA07	NULL
D01AA08	NULL
D01AA20	NULL
D01AC02	NULL
D01AC03	NULL
D01AC04	NULL
D01AC06	NULL
D01AC07	NULL
D01AC08	NULL
D01AC09	NULL
D01AC10	NULL
D01AC11	NULL
D01AC12	NULL
D01AC13	NULL
D01AC14	NULL
D01AC15	NULL
D01AC16	NULL
D01AC20	NULL
D01AC52	NULL
D01AC60	NULL
D01AE01	NULL
D01AE02	NULL
D01AE03	NULL
D01AE04	NULL
D01AE05	NULL
D01AE06	NULL
D01AE07	NULL
D01AE08	NULL
D01AE09	NULL
D01AE10	NULL
D01AE11	NULL
D01AE12	NULL
D01AE13	NULL
D01AE14	NULL
D01AE16	NULL
D01AE17	NULL
D01AE18	NULL
D01AE19	NULL
D01AE20	NULL
D01AE21	NULL
D01AE22	NULL
D01AE23	NULL
D01AE54	NULL
D02AE51	NULL
D02BA01	NULL
D02BA02	NULL
D02BB01	NULL
D03AX01	NULL
D03AX02	NULL
D03AX03	NULL
D03AX04	NULL
D03AX05	NULL
D03AX06	NULL
D03AX09	NULL
D03AX10	NULL
D03BA01	NULL
D03BA02	NULL
D03BA52	NULL
D04AA01	NULL
D04AA02	NULL
D04AA03	NULL
D04AA04	NULL
D04AA09	NULL
D04AA10	NULL
D04AA12	NULL
D04AA13	NULL
D04AA14	NULL
D04AA15	NULL
D04AA22	NULL
D04AA32	NULL
D04AA33	NULL
D04AA34	NULL
D04AB02	NULL
D04AB03	NULL
D04AB04	NULL
D04AB05	NULL
D04AB06	NULL
D04AB07	NULL
D05AC01	NULL
D05AC51	NULL
D05AD01	NULL
D05AD02	NULL
D05AX01	NULL
D05AX02	NULL
D05AX03	NULL
D05AX04	NULL
D05AX05	NULL
D05BA01	NULL
D05BA02	NULL
D05BA03	NULL
D05BB01	NULL
D05BB02	NULL
D05BX51	NULL
D06AA01	NULL
D06AA02	NULL
D06AA03	NULL
D06AA04	NULL
D06AX02	NULL
D06AX04	NULL
D06AX05	NULL
D06AX07	NULL
D06AX08	NULL
D06AX09	NULL
D06AX10	NULL
D06AX11	NULL
D06AX12	NULL
D06AX13	NULL
D06BA02	NULL
D06BA03	NULL
D06BA04	NULL
D06BA05	NULL
D06BA06	NULL
D06BA51	NULL
D06BB01	NULL
D06BB02	NULL
D06BB03	NULL
D06BB04	NULL
D06BB05	NULL
D06BB06	NULL
D06BB07	NULL
D06BB08	NULL
D06BB09	NULL
D06BB10	NULL
D06BB11	NULL
D06BX01	NULL
D07AA01	NULL
D07AA03	NULL
D07AB01	NULL
D07AB02	NULL
D07AB03	NULL
D07AB04	NULL
D07AB05	NULL
D07AB06	NULL
D07AB07	NULL
D07AB08	NULL
D07AB09	NULL
D07AB10	NULL
D07AB11	NULL
D07AB19	NULL
D07AB21	NULL
D07AB30	NULL
D07AC02	NULL
D07AC03	NULL
D07AC04	NULL
D07AC05	NULL
D07AC06	NULL
D07AC07	NULL
D07AC08	NULL
D07AC09	NULL
D07AC10	NULL
D07AC11	NULL
D07AC12	NULL
D07AC13	NULL
D07AC14	NULL
D07AC15	NULL
D07AC16	NULL
D07AC17	NULL
D07AC18	NULL
D07AC19	NULL
D07AC21	NULL
D07AD01	NULL
D07AD02	NULL
D07BA01	NULL
D07BA04	NULL
D07BB01	NULL
D07BB02	NULL
D07BB03	NULL
D07BB04	NULL
D07BC01	NULL
D07BC02	NULL
D07BC03	NULL
D07BC04	NULL
D07CA01	NULL
D07CA02	NULL
D07CA03	NULL
D07CB01	NULL
D07CB02	NULL
D07CB03	NULL
D07CB04	NULL
D07CB05	NULL
D07CC01	NULL
D07CC02	NULL
D07CC03	NULL
D07CC04	NULL
D07CC05	NULL
D07CC06	NULL
D07CD01	NULL
D07XA01	NULL
D07XA02	NULL
D07XB01	NULL
D07XB02	NULL
D07XB03	NULL
D07XB04	NULL
D07XB05	NULL
D07XB30	NULL
D07XC01	NULL
D07XC02	NULL
D07XC03	NULL
D07XC04	NULL
D08AA01	NULL
D08AA02	NULL
D08AA03	NULL
D08AC01	NULL
D08AC02	NULL
D08AC03	NULL
D08AC04	NULL
D08AC05	NULL
D08AC52	NULL
D08AE01	NULL
D08AE02	NULL
D08AE03	NULL
D08AE04	NULL
D08AE05	NULL
D08AE06	NULL
D08AF01	NULL
D08AG01	NULL
D08AG02	NULL
D08AG03	NULL
D08AG04	NULL
D08AH01	NULL
D08AH02	NULL
D08AH03	NULL
D08AH30	NULL
D08AJ01	NULL
D08AJ02	NULL
D08AJ03	NULL
D08AJ04	NULL
D08AJ05	NULL
D08AJ06	NULL
D08AJ57	NULL
D08AJ58	NULL
D08AJ59	NULL
D08AK01	NULL
D08AK02	NULL
D08AK03	NULL
D08AK04	NULL
D08AK05	NULL
D08AK06	NULL
D08AK30	NULL
D08AL01	NULL
D08AL30	NULL
D08AX01	NULL
D08AX02	NULL
D08AX03	NULL
D08AX04	NULL
D08AX05	NULL
D08AX06	NULL
D08AX07	NULL
D08AX08	NULL
D08AX53	NULL
D09AA01	NULL
D09AA02	NULL
D09AA03	NULL
D09AA04	NULL
D09AA05	NULL
D09AA06	NULL
D09AA07	NULL
D09AA08	NULL
D09AA09	NULL
D09AA10	NULL
D09AA11	NULL
D09AA12	NULL
D09AA13	NULL
D09AB01	NULL
D09AB02	NULL
D10AA01	NULL
D10AA02	NULL
D10AA03	NULL
D10AB01	NULL
D10AB02	NULL
10AB03	NULL
D10AB05	NULL
D10AD03	NULL
D10AD05	NULL
D10AD51	NULL
D10AD53	NULL
D10AD54	NULL
D10AE51	NULL
D10AF01	NULL
D10AF02	NULL
D10AF03	NULL
D10AF04	NULL
D10AF51	NULL
D10AF52	NULL
D10AX01	NULL
D10AX02	NULL
D10AX03	NULL
D10AX04	NULL
D10AX30	NULL
D10BA01	NULL
D10BX01	NULL
D11AC01	NULL
D11AC02	NULL
D11AC03	NULL
D11AC06	NULL
D11AC08	NULL
D11AC09	NULL
D11AC30	NULL
D11AE01	NULL
D11AX01	NULL
D11AX02	NULL
D11AX03	NULL
D11AX04	NULL
D11AX05	NULL
D11AX06	NULL
D11AX08	NULL
D11AX09	NULL
D11AX10	NULL
D11AX11	NULL
D11AX12	NULL
D11AX13	NULL
D11AX14	NULL
D11AX15	NULL
D11AX16	NULL
D11AX17	NULL
D11AX18	NULL
D11AX52	NULL
D11AX57	NULL
G01AA01	NULL
G01AA02	NULL
G01AA03	NULL
G01AA04	NULL
G01AA05	NULL
G01AA06	NULL
G01AA07	NULL
G01AA08	NULL
G01AA09	NULL
G01AA10	NULL
G01AA11	NULL
G01AA51	NULL
G01AB01	NULL
G01AC01	NULL
G01AC02	NULL
G01AC03	NULL
G01AC05	NULL
G01AC06	NULL
G01AC30	NULL
G01AD01	NULL
G01AD02	NULL
G01AD03	NULL
G01AE01	NULL
G01AE10	NULL
G01AF04	NULL
G01AF05	NULL
G01AF06	NULL
G01AF07	NULL
G01AF08	NULL
G01AF11	NULL
G01AF12	NULL
G01AF13	NULL
G01AF14	NULL
G01AF15	NULL
G01AF16	NULL
G01AF17	NULL
G01AF18	NULL
G01AF20	NULL
G01AG02	NULL
G01AX01	NULL
G01AX02	NULL
G01AX03	NULL
